,Head/Neck,Trunk,Shoulder/Arm,Hand,Pelvis,Leg,Foot
Neandertal total,29.6%,14.8%,25.9%,3.7%,3.7%,11.1%,11.1%
Neandertals w/o DJD,30.4%,17.4%,30.4%,4.3%,0.0%,13.0%,4.3%
Neandertals w/o Shanidar 1,28.6%,19.0%,23.8%,4.8%,4.8%,14.3%,4.8%
Neandertals w/o Shanidar 1 & DJD,27.8%,22.2%,27.8%,5.6%,0.0%,16.7%,0.0%
Bt-5,1.8%,51.1%,22.4%,6.3%,3.1%,9.0%,6.3%
Libben,6.4%,21.3%,29.7%,0.0%,0.0%,39.4%,3.2%
Nubia,10.6%,6.9%,53.1%,1.9%,3.8%,22.6%,1.3%
London,6.2%,7.0%,31.6%,24.4%,0.2%,23.6%,7.0%
New York,13.7%,12.3%,25.3%,21.9%,0.5%,20.6%,5.6%
New Mexico,1.6%,12.5%,23.1%,23.6%,2.1%,11.1%,25.9%
Rodeo,39.2%,9.9%,25.9%,6.1%,3.3%,6.1%,9.4%
