Sample,Head/Neck,Trunk,Shoulder/Arm,Hand,Pelvis,Leg,Foot
Neandertal total,0.296,0.148,0.259,0.037,0.037,0.111,0.111
Neandertals w/o DJD,0.304,0.174,0.304,0.043,0.000,0.130,0.043
Neandertals w/o Shanidar 1,0.286,0.190,0.238,0.048,0.048,0.143,0.048
Neandertals w/o Shanidar 1 & DJD,0.278,0.222,0.278,0.056,0.000,0.167,0.000
Bt-5,0.018,0.511,0.224,0.063,0.031,0.090,0.063
Libben,0.064,0.213,0.297,0.000,0.000,0.394,0.032
Nubia,0.106,0.069,0.531,0.019,0.038,0.226,0.013
London,0.062,0.070,0.316,0.244,0.002,0.236,0.070
New York,0.137,0.123,0.253,0.219,0.005,0.206,0.056
New Mexico,0.016,0.125,0.231,0.236,0.021,0.111,0.259
Rodeo,0.392,0.099,0.259,0.061,0.033,0.061,0.094
